headline_text,label,tokenized_sents,developed_exists,developing_exists,cat
air nz staff aust strike pay rise,-1,"{'pay', 'air', 'nz', 'aust', 'strike', 'rise', 'staff'}",1,0,developed
air nz strike affect australian travellers,0,"{'australian', 'affect', 'air', 'nz', 'strike', 'travellers'}",1,0,developed
aust addresses un security council iraq,1,"{'council', 'addresses', 'aust', 'iraq', 'un', 'security'}",1,1,developed/developing
australia locked war timetable opp,-1,"{'opp', 'australia', 'war', 'timetable', 'locked'}",1,0,developed
australia contribute 10 million aid iraq,0,"{'10', 'million', 'contribute', 'australia', 'aid', 'iraq'}",1,1,developed/developing
british combat troops arriving daily kuwait,-1,"{'daily', 'british', 'kuwait', 'arriving', 'combat', 'troops'}",1,0,developed
iraq pay rebuilding white house,0,"{'house', 'rebuilding', 'white', 'pay', 'iraq'}",0,1,developing
nato gives green light defend turkey,0,"{'turkey', 'defend', 'gives', 'light', 'nato', 'green'}",0,1,developing
new zealand imposes visa entry zimbabwe,0,"{'zealand', 'entry', 'zimbabwe', 'imposes', 'visa', 'new'}",0,1,developing
peace agreement may bring respite venezuela,1,"{'peace', 'agreement', 'may', 'respite', 'bring', 'venezuela'}",0,1,developing
saudi arabia tells arabs war iraq inevitable,-1,"{'tells', 'inevitable', 'saudi', 'arabia', 'war', 'iraq', 'arabs'}",0,1,developing
second resolution iraq expected shortly un,0,"{'shortly', 'resolution', 'expected', 'second', 'iraq', 'un'}",0,1,developing
slow recovery predicted aust economy,0,"{'economy', 'predicted', 'aust', 'recovery', 'slow'}",1,0,developed
surge new car sales aust abs,0,"{'sales', 'abs', 'aust', 'surge', 'car', 'new'}",1,0,developed
us british aircraft attack sth iraq target,-1,"{'target', 'us', 'attack', 'aircraft', 'sth', 'british', 'iraq'}",1,1,developed/developing
15 dead rebel bombing raid philippines army,-1,"{'raid', '15', 'army', 'bombing', 'rebel', 'dead', 'philippines'}",0,1,developing
aust drinking less alcohol smoking less study,0,"{'smoking', 'alcohol', 'drinking', 'study', 'less', 'aust'}",1,0,developed
britain tells nationals leave iraq kuwait,0,"{'tells', 'nationals', 'leave', 'kuwait', 'iraq', 'britain'}",1,1,developed/developing
british high court overturns new blair asylum,0,"{'court', 'blair', 'high', 'asylum', 'overturns', 'british', 'new'}",1,0,developed
british magician entomb cheese,0,"{'magician', 'cheese', 'british', 'entomb'}",1,0,developed
