headline_text,tokenized_sents,developed_exists,developing_exists,cat,label
air nz staff aust strike pay rise,"{'aust', 'rise', 'strike', 'staff', 'air', 'pay', 'nz'}",1,0,developed,0
air nz strike affect australian travellers,"{'affect', 'strike', 'australian', 'travellers', 'air', 'nz'}",1,0,developed,1
aust addresses un security council iraq,"{'aust', 'iraq', 'un', 'security', 'addresses', 'council'}",1,1,developed/developing,2
australia locked war timetable opp,"{'timetable', 'australia', 'locked', 'war', 'opp'}",1,0,developed,0
australia contribute 10 million aid iraq,"{'australia', 'aid', 'million', '10', 'iraq', 'contribute'}",1,1,developed/developing,1
british combat troops arriving daily kuwait,"{'daily', 'combat', 'british', 'kuwait', 'arriving', 'troops'}",1,0,developed,1
iraq pay rebuilding white house,"{'rebuilding', 'white', 'iraq', 'pay', 'house'}",0,1,developing,1
nato gives green light defend turkey,"{'turkey', 'green', 'gives', 'defend', 'nato', 'light'}",0,1,developing,1
new zealand imposes visa entry zimbabwe,"{'visa', 'zealand', 'new', 'imposes', 'entry', 'zimbabwe'}",0,1,developing,1
peace agreement may bring respite venezuela,"{'respite', 'peace', 'may', 'bring', 'agreement', 'venezuela'}",0,1,developing,2
saudi arabia tells arabs war iraq inevitable,"{'saudi', 'inevitable', 'arabs', 'iraq', 'war', 'tells', 'arabia'}",0,1,developing,0
second resolution iraq expected shortly un,"{'shortly', 'resolution', 'iraq', 'second', 'un', 'expected'}",0,1,developing,1
slow recovery predicted aust economy,"{'aust', 'economy', 'predicted', 'recovery', 'slow'}",1,0,developed,1
surge new car sales aust abs,"{'aust', 'car', 'surge', 'new', 'sales', 'abs'}",1,0,developed,1
us british aircraft attack sth iraq target,"{'attack', 'target', 'iraq', 'aircraft', 'sth', 'british', 'us'}",1,1,developed/developing,0
15 dead rebel bombing raid philippines army,"{'bombing', 'raid', '15', 'dead', 'philippines', 'army', 'rebel'}",0,1,developing,0
aust drinking less alcohol smoking less study,"{'aust', 'smoking', 'alcohol', 'study', 'less', 'drinking'}",1,0,developed,1
britain tells nationals leave iraq kuwait,"{'leave', 'nationals', 'britain', 'iraq', 'tells', 'kuwait'}",1,1,developed/developing,1
british high court overturns new blair asylum,"{'court', 'high', 'new', 'overturns', 'blair', 'british', 'asylum'}",1,0,developed,0
british magician entomb cheese,"{'entomb', 'magician', 'british', 'cheese'}",1,0,developed,1
bush thanks nato support turkey,"{'turkey', 'support', 'thanks', 'nato', 'bush'}",0,1,developing,2
concorde makes emergency landing canada,"{'emergency', 'makes', 'concorde', 'landing', 'canada'}",1,0,developed,0
downer warns iraq action could begin soon,"{'soon', 'begin', 'downer', 'warns', 'iraq', 'action', 'could'}",0,1,developing,1
france drop merceron gelez face scots,"{'merceron', 'drop', 'gelez', 'france', 'scots', 'face'}",1,0,developed,0
ganguly leads india victory,"{'leads', 'victory', 'india', 'ganguly'}",0,1,developing,1
howard vows stay pm iraq crisis,"{'pm', 'vows', 'stay', 'howard', 'iraq', 'crisis'}",0,1,developing,0
hussein says iraq doesnt want war us,"{'want', 'doesnt', 'says', 'iraq', 'war', 'us', 'hussein'}",1,1,developed/developing,2
iran military plane crash kills 302,"{'302', 'kills', 'iran', 'plane', 'military', 'crash'}",0,1,developing,0
iran plane crashes least 250 aboard tv,"{'crashes', 'iran', 'aboard', 'plane', 'least', '250', 'tv'}",0,1,developing,1
iraqi use human shields war crime us,"{'use', 'crime', 'iraqi', 'shields', 'war', 'human', 'us'}",1,0,developed,0
italy remain unchanged ireland clash,"{'unchanged', 'clash', 'remain', 'ireland', 'italy'}",1,0,developed,1
kirwan sticks winning formula ireland,"{'winning', 'sticks', 'formula', 'kirwan', 'ireland'}",1,0,developed,2
man awaits sentencing denmark murder,"{'man', 'murder', 'sentencing', 'awaits', 'denmark'}",1,0,developed,0
new zealand discover kenya fate thursday,"{'discover', 'zealand', 'thursday', 'new', 'kenya', 'fate'}",0,1,developing,1
players continue zimbabwe protest,"{'protest', 'players', 'zimbabwe', 'continue'}",0,1,developing,0
racing club sneak point peru,"{'club', 'point', 'sneak', 'peru', 'racing'}",0,1,developing,1
ruiz hat trick guatemala rout nicaragua,"{'hat', 'trick', 'ruiz', 'nicaragua', 'guatemala', 'rout'}",0,1,developing,1
terror weapons pose minimal risk british expert,"{'risk', 'expert', 'minimal', 'pose', 'terror', 'british', 'weapons'}",1,0,developed,0
tourism industry must protected iraq,"{'tourism', 'industry', 'must', 'iraq', 'protected'}",0,1,developing,2
turkey stands firm us aid offer,"{'turkey', 'aid', 'offer', 'us', 'firm', 'stands'}",1,1,developed/developing,1
turkey still undecided us aid gulf attack,"{'turkey', 'aid', 'attack', 'undecided', 'us', 'still', 'gulf'}",1,1,developed/developing,0
us invited talks burmese military junta,"{'junta', 'talks', 'invited', 'us', 'military', 'burmese'}",1,0,developed,1
us launches homeland security ready campaign,"{'ready', 'launches', 'campaign', 'us', 'security', 'homeland'}",1,0,developed,2
us markets remain jittery shadow war,"{'jittery', 'shadow', 'markets', 'remain', 'war', 'us'}",1,0,developed,0
us tells turkey time running aid offer,"{'turkey', 'time', 'running', 'aid', 'offer', 'us', 'tells'}",1,1,developed/developing,1
us take wto action europe ge,"{'take', 'wto', 'ge', 'us', 'action', 'europe'}",1,0,developed,0
war iraq could cost 120 billion economists,"{'economists', 'cost', 'billion', '120', 'iraq', 'war', 'could'}",0,1,developing,0
wa wine destined us,"{'wine', 'wa', 'us', 'destined'}",1,0,developed,1
zimbabwe bars british reporter world cup,"{'world', 'cup', 'british', 'reporter', 'zimbabwe', 'bars'}",1,1,developed/developing,1
aec ruling scrap federal seat hurts us,"{'scrap', 'ruling', 'hurts', 'aec', 'us', 'seat', 'federal'}",1,0,developed,0
andersson atwal miss record malaysia,"{'atwal', 'miss', 'andersson', 'record', 'malaysia'}",0,1,developing,1
least 26 dead us club fire,"{'club', 'fire', 'dead', 'us', '26', 'least'}",1,0,developed,0
aust could top four al qaeda target list,"{'qaeda', 'aust', 'list', 'top', 'target', 'al', 'four', 'could'}",1,0,developed,2
australia withdraw bougainville peace monitors,"{'australia', 'withdraw', 'peace', 'monitors', 'bougainville'}",1,0,developed,2
aust share market ends week negative territory,"{'aust', 'share', 'negative', 'week', 'territory', 'ends', 'market'}",1,0,developed,0
british govt clashes high court asylum,"{'court', 'high', 'govt', 'clashes', 'british', 'asylum'}",1,0,developed,1
british pop awards platform iraq,"{'awards', 'iraq', 'pop', 'british', 'platform'}",1,1,developed/developing,2
briton stabbed death bangkok,"{'bangkok', 'death', 'briton', 'stabbed'}",1,0,developed,0
china wage chemical war chewing gum blobs,"{'gum', 'chewing', 'wage', 'china', 'blobs', 'war', 'chemical'}",1,0,developed,0
clinton cancels trip india,"{'cancels', 'india', 'trip', 'clinton'}",0,1,developing,0
gold coast gets us tourism assurances,"{'gets', 'tourism', 'gold', 'us', 'assurances', 'coast'}",1,0,developed,2
howard repeats zimbabwe boycott call,"{'call', 'howard', 'repeats', 'boycott', 'zimbabwe'}",0,1,developing,0
iaea visit iran assess nuclear program,"{'visit', 'iran', 'assess', 'nuclear', 'program', 'iaea'}",0,1,developing,1
indonesia says australia travel warnings,"{'travel', 'indonesia', 'australia', 'says', 'warnings'}",1,1,developed/developing,0
jackson hits back explosive british tv interview,"{'back', 'jackson', 'interview', 'british', 'hits', 'explosive', 'tv'}",1,0,developed,1
kenya awarded points kiwi call,"{'call', 'points', 'kenya', 'awarded', 'kiwi'}",0,1,developing,2
loose cannon afridi set pakistan,"{'pakistan', 'set', 'afridi', 'cannon', 'loose'}",0,1,developing,0
